location,date,new_cases,new_deaths,new_vaccinations,population
Dominica,2020,88.0,0.0,0.0,20736030.0
Dominica,2021,6760.0,47.0,6417.0,26556670.0
Dominica,2022,8946.0,27.0,0.0,23064286.0
Dominican Republic,2020,170785.0,2414.0,0.0,3436019226.0
Dominican Republic,2021,247993.0,1833.0,12301667.0,4098519665.0
Dominican Republic,2022,228939.0,137.0,1684116.0,3559536257.0
Ecuador,2020,223578.0,10182.0,0.0,5508306612.0
Ecuador,2021,337313.0,10861.0,26893713.0,6570365730.0
Ecuador,2022,459970.0,2254.0,9367955.0,5706317634.0
Egypt,2020,138062.0,7631.0,0.0,35738810912.0
Egypt,2021,247513.0,14121.0,2078777.0,40511385040.0
Egypt,2022,130070.0,3046.0,78722.0,35183860432.0
El Salvador,2020,46334.0,1327.0,0.0,1824881184.0
El Salvador,2021,75703.0,2497.0,4866141.0,2312783445.0
El Salvador,2022,79840.0,406.0,98095.0,2008636581.0
England,2020,0.0,0.0,0.0,16229850000.0
England,2021,0.0,0.0,109096528.0,20640750000.0
England,2022,0.0,0.0,29194618.0,17700150000.0
Equatorial Guinea,2020,5277.0,86.0,0.0,489075472.0
Equatorial Guinea,2021,8433.0,89.0,639.0,611344340.0
Equatorial Guinea,2022,3569.0,8.0,0.0,530948372.0
Eritrea,2020,1320.0,3.0,0.0,1053635726.0
Eritrea,2021,6691.0,73.0,0.0,1344674965.0
Eritrea,2022,2178.0,27.0,0.0,1167840997.0
Estonia,2020,27990.0,235.0,2284.0,441579312.0
Estonia,2021,213418.0,1703.0,1806407.0,484013360.0
Estonia,2022,367206.0,828.0,273198.0,420362288.0
Eswatini,2020,9358.0,205.0,0.0,352092240.0
Eswatini,2021,56751.0,1098.0,110765.0,438613200.0
Eswatini,2022,7599.0,119.0,0.0,380932560.0
Ethiopia,2020,124264.0,1923.0,0.0,36273698832.0
Ethiopia,2021,296078.0,5014.0,9513870.0,45033673720.0
Ethiopia,2022,73843.0,635.0,13533745.0,39111437176.0
Europe,2020,23923621.0,569149.0,1008866.0,256213884232.0
Europe,2021,65173405.0,994145.0,1105193416.0,271854848095.0
Europe,2022,148420833.0,407757.0,236427085.0,236104073551.0
European Union,2020,15667285.0,372654.0,363164.0,154850496792.0
European Union,2021,41059141.0,536310.0,748323541.0,164303579445.0
European Union,2022,119078598.0,260490.0,166215416.0,142696533381.0
Faeroe Islands,2020,610.0,0.0,0.0,16094451.0
Faeroe Islands,2021,5154.0,14.0,31940.0,19387705.0
Faeroe Islands,2022,28894.0,14.0,2873.0,16838089.0
Falkland Islands,2020,29.0,0.0,0.0,1033872.0
Falkland Islands,2021,56.0,0.0,0.0,1387365.0
Falkland Islands,2022,1847.0,0.0,0.0,1204917.0
Fiji,2020,49.0,2.0,0.0,313332153.0
Fiji,2021,53283.0,698.0,28295.0,339365685.0
Fiji,2022,14955.0,180.0,0.0,294736773.0
Finland,2020,36422.0,592.0,0.0,1872771810.0
